Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,University of Illinois,Instagram,24,0.279
What social platform has influenced your online shopping most?,University,University of Illinois,Snapchat,3,0.035
What social platform has influenced your online shopping most?,University,University of Illinois,Twitter,7,0.081
What social platform has influenced your online shopping most?,University,University of Illinois,None,34,0.395
What social platform has influenced your online shopping most?,University,University of Washington,Facebook,12,0.245
What social platform has influenced your online shopping most?,University,University of Washington,Instagram,19,0.388
What social platform has influenced your online shopping most?,University,University of Washington,Snapchat,1,0.02
What social platform has influenced your online shopping most?,University,University of Washington,Twitter,2,0.041
What social platform has influenced your online shopping most?,University,University of Washington,None,15,0.306
What social platform has influenced your online shopping most?,University,University of North Carolina,Facebook,14,0.241
What social platform has influenced your online shopping most?,University,University of North Carolina,Instagram,16,0.276
What social platform has influenced your online shopping most?,University,University of North Carolina,Snapchat,2,0.034
What social platform has influenced your online shopping most?,University,University of North Carolina,Twitter,5,0.086
What social platform has influenced your online shopping most?,University,University of North Carolina,None,21,0.362
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Facebook,4,0.222
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Instagram,7,0.389
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Twitter,2,0.111
What social platform has influenced your online shopping most?,University,Miami University (Ohio),None,5,0.278
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Facebook,1,1.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Twitter,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",None,0,0.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of California Riverside,None,1,1.0
